ma_nguoi_dung,ho_ten,ten_dang_nhap,thu_dien_tu_mo_phong,vai_tro,ma_ncc,so_dien_thoai_mo_phong,so_thich,ngay_tao,trang_thai
ND0001,Hoàng Thị Oanh,hoang.thi.oanh1,nd0001@example.test,quan_tri,,0944785149,Vườn quốc gia,2023-08-19,kich_hoat
ND0002,Vũ Hải Hùng,vu.hai.hung2,nd0002@example.test,quan_tri,,0987979149,"Di sản văn hóa, Danh thắng thiên nhiên",2023-05-15,kich_hoat
ND0003,Dương Văn Dũng,duong.van.dung3,nd0003@example.test,nha_cung_cap,NCC001,0926830427,"Vườn quốc gia, Làng nghề truyền thống",2025-11-01,kich_hoat
ND0004,Phạm Thu Linh,pham.thu.linh4,nd0004@example.test,nha_cung_cap,NCC002,0945022841,"Đô thị – mua sắm, Di tích lịch sử",2025-12-14,kich_hoat
ND0005,Bùi Đức Hà,bui.duc.ha5,nd0005@example.test,nha_cung_cap,NCC003,0955449587,"Sinh thái nông nghiệp, Đô thị – mua sắm, Danh thắng thiên nhiên",2025-11-13,kich_hoat
ND0006,Hoàng Ngọc Lan,hoang.ngoc.lan6,nd0006@example.test,nha_cung_cap,NCC004,0968603694,"Đô thị – mua sắm, Di sản văn hóa, Làng nghề truyền thống",2023-05-02,kich_hoat
ND0007,Đỗ Văn Đạt,do.van.dat7,nd0007@example.test,nha_cung_cap,NCC005,0953562031,Đô thị – mua sắm,2023-10-01,kich_hoat
ND0008,Trần Thanh Trang,tran.thanh.trang8,nd0008@example.test,nha_cung_cap,NCC006,0978215075,"Di tích lịch sử, Làng nghề truyền thống",2025-11-06,kich_hoat
ND0009,Lê Hải Lan,le.hai.lan9,nd0009@example.test,nha_cung_cap,NCC007,0980596166,Danh thắng thiên nhiên,2024-03-06,kich_hoat
ND0010,Dương Khánh Thảo,duong.khanh.thao10,nd0010@example.test,nha_cung_cap,NCC008,0998044048,Bãi biển,2024-07-09,kich_hoat
ND0011,Lý Minh Đạt,ly.minh.dat11,nd0011@example.test,nha_cung_cap,NCC009,0936239361,Di tích lịch sử,2023-07-15,kich_hoat
ND0012,Hoàng Văn Tuấn,hoang.van.tuan12,nd0012@example.test,nha_cung_cap,NCC010,0921287387,"Sinh thái nông nghiệp, Danh thắng thiên nhiên, Vườn quốc gia",2023-10-19,kich_hoat
