ma_ncc,ten_ncc,ma_so_thue_mo_phong,tinh_thanh,nguoi_dai_dien,dien_thoai_mo_phong,thu_dien_tu_mo_phong,ngay_hop_tac,trang_thai_hop_tac
NCC001,Công ty Lữ hành Long Hải,0744769380,Nam Định,Ngô Quang An,0940816468,ncc001@example.test,2024-12-31,dang_hop_tac
NCC002,Công ty Du lịch Phú Cường,0578041411,TP. Hồ Chí Minh,Dương Hải Đạt,0937599132,ncc002@example.test,2024-03-27,dang_hop_tac
NCC003,Công ty Dịch vụ Hương Giang,0324184410,Đồng Nai,Trần Quang Phúc,0962815414,ncc003@example.test,2024-08-08,dang_hop_tac
NCC004,Công ty Dịch vụ Hòa Xuân,0966433899,Kon Tum,Hồ Hữu Nam,0991610679,ncc004@example.test,2024-10-26,dang_hop_tac
NCC005,Công ty Đầu tư du lịch Đại Lộc,0828033251,Hà Giang,Hồ Thị Nhung,0929878571,ncc005@example.test,2024-05-11,tam_dung
NCC006,Công ty Du lịch Bình Minh,0363926074,Quảng Nam,Bùi Hữu Giang,0975081879,ncc006@example.test,2022-07-01,dang_hop_tac
NCC007,Công ty Lữ hành Bình Minh,0280189644,Gia Lai,Đặng Thu Yến,0980695599,ncc007@example.test,2022-10-24,dang_hop_tac
NCC008,Công ty Dịch vụ Ngọc Trai,0275320982,Khánh Hòa,Vũ Ngọc An,0964969404,ncc008@example.test,2022-03-15,dang_hop_tac
NCC009,Công ty Lữ hành Hương Giang,0712775652,Thanh Hóa,Bùi Thanh Hùng,0944874743,ncc009@example.test,2024-03-07,dang_hop_tac
NCC010,Công ty Đầu tư du lịch Bình Minh,0692487284,Quảng Bình,Phạm Quang Hà,0984017687,ncc010@example.test,2025-02-04,dang_hop_tac
NCC011,Công ty Lữ hành Mỹ Cảnh,0824208257,Hà Giang,Lê Ngọc Kiên,0929757453,ncc011@example.test,2023-12-11,tam_dung
NCC012,Công ty Du lịch Thanh Bình,0518816746,Cao Bằng,Lý Khánh Phúc,0925369763,ncc012@example.test,2022-12-29,dang_hop_tac
NCC013,Công ty Du lịch Thiên Hương,0467572599,Cà Mau,Phan Hải Hà,0990606251,ncc013@example.test,2023-01-03,tam_dung
NCC014,Công ty Dịch vụ Phú Cường,0481986957,Hòa Bình,Đặng Đức Yến,0925694711,ncc014@example.test,2023-10-25,dang_hop_tac
NCC015,Công ty Du lịch Vân Sơn,0304288639,Đắk Lắk,Phạm Thị Kiên,0964594677,ncc015@example.test,2022-07-12,dang_hop_tac
NCC016,Công ty Lữ hành Đại Lộc,0410081178,TP. Hồ Chí Minh,Trần Hữu Trang,0976563928,ncc016@example.test,2024-07-12,dang_hop_tac
NCC017,Công ty Lữ hành An Khê,0739232228,Kon Tum,Hoàng Hải Khoa,0967482761,ncc017@example.test,2022-10-18,dang_hop_tac
NCC018,Công ty Lữ hành Mỹ Cảnh,0447806499,Cao Bằng,Trần Khánh Tuấn,0919986879,ncc018@example.test,2024-04-18,dang_hop_tac
NCC019,Công ty Du lịch Mỹ Cảnh,0806404846,Quảng Ninh,Phan Minh Mai,0980861775,ncc019@example.test,2024-02-22,dang_hop_tac
NCC020,Công ty Đầu tư du lịch Tây Hồ,0169787635,An Giang,Phan Thu Vy,0952975815,ncc020@example.test,2024-02-20,dang_hop_tac
NCC021,Công ty Dịch vụ Tây Hồ,0723462515,Đắk Lắk,Hoàng Quang Nhung,0933031581,ncc021@example.test,2024-10-20,dang_hop_tac
NCC022,Công ty Lữ hành Hương Giang,0669116990,Kiên Giang,Phan Ngọc Đạt,0936148428,ncc022@example.test,2023-03-11,dang_hop_tac
NCC023,Công ty Dịch vụ Ban Mai,0773850780,An Giang,Đỗ Hữu Chi,0910875690,ncc023@example.test,2024-03-27,tam_dung
NCC024,Công ty Lữ hành Long Hải,0524657140,Cần Thơ,Trần Hải Tuấn,0913607870,ncc024@example.test,2022-10-16,dang_hop_tac
